Fecha,CO (mg/m3),NO (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM25 (ug/m3),SO2 (ug/m3),Provincia,Estación,Latitud,Longitud,,
05/03/2020,,2.0,10.0,66,5.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
06/03/2020,,2.0,11.0,75,10.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
07/03/2020,,4.0,15.0,54,11.0,3.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
08/03/2020,,4.0,13.0,47,11.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
09/03/2020,,4.0,22.0,50,12.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
10/03/2020,,7.0,25.0,26,19.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
11/03/2020,,8.0,21.0,22,23.0,9.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
12/03/2020,,5.0,14.0,24,27.0,8.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
13/03/2020,,1.0,4.0,53,16.0,5.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
14/03/2020,,2.0,8.0,44,17.0,7.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
15/03/2020,,2.0,6.0,50,17.0,6.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
16/03/2020,,1.0,3.0,74,4.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
17/03/2020,,1.0,1.0,68,7.0,2.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
18/03/2020,,1.0,4.0,41,32.0,9.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
19/03/2020,,4.0,9.0,28,53.0,14.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
20/03/2020,,2.0,6.0,39,46.0,13.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
21/03/2020,,1.0,4.0,62,16.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
22/03/2020,,1.0,2.0,57,16.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
23/03/2020,,1.0,3.0,47,14.0,4.0,,Salamanca,Salamanca6,4.096.055.555.555.550,-5.639.444.444.444.440,,
